Name,Country,Domain / Website,Category / Notes,Registration / Corporate Status,Regulatory Body (HQ jurisdiction),Operating Status,Legal Cases,Penalty History
Randstad,Netherlands,randstad.com,Global staffing (largest by revenue),Public (Euronext Amsterdam: RAND),Dutch Labour Authority / Employment Agency Standards bodies (per country of operation),Active / operating,"EEOC disability-discrimination suit (methadone-treatment hiring refusal case), later settled","Paid $50,000 + equitable relief in a 2016 EEOC disability discrimination settlement (Randstad US, LP)"
Adecco Group,Switzerland,adeccogroup.com,Global staffing,Public (SIX Swiss Exchange: ADEN),Swiss State Secretariat for Economic Affairs (SECO) / US state labor depts.,Active / operating,"Class-action lawsuit (filed 2024, California) alleging failure to pay final wages to workers on time",No confirmed penalty/settlement amount publicly reported as of search date; case status not confirmed
ManpowerGroup,United States,manpowergroup.com,Global staffing,Public (NYSE: MAN),US Dept. of Labor / state labor depts. (multi-jurisdictional),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Robert Half,United States,roberthalf.com,Finance & accounting staffing,Public (NASDAQ: RHI),US Dept. of Labor / state labor depts.,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Hays plc,United Kingdom,hays.com,Specialist recruitment,Public (LSE: HAS),UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
PageGroup (Michael Page),United Kingdom,michaelpage.com,Specialist recruitment,Public (LSE: PAGE),UK Employment Agency Standards (EAS) Inspectorate,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Kelly Services,United States,kellyservices.com,Global staffing,Public (NASDAQ: KELYA),US Dept. of Labor / state labor depts.,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Recruit Holdings (Indeed/Glassdoor),Japan,recruit-holdings.com,HR technology & staffing,Public (Tokyo Stock Exchange: 6098),"Japan Ministry of Health, Labour and Welfare (MHLW)",Active / operating,"Subject to on-site labor-standards inspections in Japan alongside other major staffing firms (regulatory compliance review, not a lawsuit)",No major public penalty history identified in search
Allegis Group,United States,allegisgroup.com,Largest US staffing group,Private,US Dept. of Labor / state labor depts.,Active / operating,"Non-compete/trade-secret litigation involving subsidiary TEKsystems vs. former employees and rival firm Highspring (Vaco), 2025-26",No confirmed penalty amount publicly reported for Allegis Group directly as of search date
Insight Global,United States,insightglobal.com,IT & professional staffing,Private,US Dept. of Labor / state labor depts.,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Gi Group Holding,Italy,gigroup.com,Global staffing,Private,Italian Ministry of Labour (ANPAL) staffing-agency authorization,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Korn Ferry,United States,kornferry.com,Executive search & consulting,Public (NYSE: KFY),US Dept. of Labor (executive search generally less regulated than staffing),Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Heidrick & Struggles,United States,heidrick.com,Executive search,Public (NASDAQ: HSII),US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Spencer Stuart,United States,spencerstuart.com,Executive search,Private,US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Egon Zehnder,Switzerland,egonzehnder.com,Executive search,Private (partnership),Swiss / multi-jurisdictional,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Russell Reynolds Associates,United States,russellreynolds.com,Executive search,Private,US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
LHH (Lee Hecht Harrison),United States,lhh.com,Career transition / recruitment,"Subsidiary of The Adecco Group (public, SIX: ADEN)",US Dept. of Labor / multi-jurisdictional,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
Aerotek,United States,aerotek.com,Industrial & technical staffing,Subsidiary of Allegis Group (private),US Dept. of Labor,Active / operating,No major public legal cases identified in search,No major public penalty history identified in search
