Name,Country,Domain / Website,Category / Notes
McKinsey & Company,United States,mckinsey.com,Strategy / MBB
Boston Consulting Group (BCG),United States,bcg.com,Strategy / MBB
Bain & Company,United States,bain.com,Strategy / MBB
Deloitte Consulting,United States,deloitte.com,Big Four Advisory
PwC Advisory,United Kingdom,pwc.com,Big Four Advisory
EY-Parthenon,United Kingdom,ey.com,Big Four Advisory
KPMG Advisory,Netherlands,kpmg.com,Big Four Advisory
Accenture,Ireland,accenture.com,Technology & Strategy
Oliver Wyman,United States,oliverwyman.com,Strategy (Financial Services)
Kearney,United States,kearney.com,Strategy
Roland Berger,Germany,rolandberger.com,Strategy
Booz Allen Hamilton,United States,boozallen.com,Government / Technology
L.E.K. Consulting,United Kingdom,lek.com,Strategy
Strategy& (PwC),United States,strategyand.pwc.com,Strategy
Capgemini Invent,France,capgemini.com,Digital Transformation
IBM Consulting,United States,ibm.com,Technology Consulting
Mercer,United States,mercer.com,HR / Workforce Consulting
Willis Towers Watson,United Kingdom,wtwco.com,Risk & HR Advisory
Alvarez & Marsal,United States,alvarezandmarsal.com,Turnaround / Restructuring
FTI Consulting,United States,fticonsulting.com,Business Advisory
Protiviti,United States,protiviti.com,Risk & Internal Audit
Grant Thornton Advisory,United Kingdom,grantthornton.global,Mid-market Advisory
BDO Global Advisory,Belgium,bdo.global,Mid-market Advisory
RSM International,United Kingdom,rsm.global,Mid-market Advisory
Cognizant Consulting,United States,cognizant.com,IT & Business Consulting
Infosys Consulting,India,infosysconsulting.com,IT & Business Consulting
Tata Consultancy Services (TCS),India,tcs.com,IT & Business Consulting
Wipro Consulting,India,wipro.com,IT & Business Consulting
HCLTech,India,hcltech.com,IT & Business Consulting
Genpact,United States,genpact.com,Process / Operations Consulting
ZS Associates,United States,zs.com,Life Sciences Consulting
Simon-Kucher & Partners,Germany,simon-kucher.com,Pricing & Growth Strategy
Arthur D. Little,Belgium,adlittle.com,Innovation & Strategy
Frost & Sullivan,United States,frost.com,Market Research / Growth
Gartner Consulting,United States,gartner.com,Research & Advisory
Forrester Consulting,United States,forrester.com,Research & Advisory
NielsenIQ,United States,nielseniq.com,Market Research
Kantar,United Kingdom,kantar.com,Market Research
Marsh McLennan,United States,mmc.com,Risk & Insurance Advisory
Aon,United Kingdom,aon.com,Risk & Insurance Advisory
Slalom Consulting,United States,slalom.com,Technology & Business Consulting
West Monroe,United States,westmonroe.com,Technology & Business Consulting
Sia Partners,France,sia-partners.com,Management Consulting
BearingPoint,Netherlands,bearingpoint.com,Management & Technology Consulting
Baringa Partners,United Kingdom,baringa.com,Energy / Financial Services Consulting
PA Consulting,United Kingdom,paconsulting.com,Innovation & Transformation
Horváth & Partners,Germany,horvath-partners.com,Performance Management Consulting
Prophet,United States,prophet.com,Brand & Growth Strategy
Cambridge Consultants,United Kingdom,cambridgeconsultants.com,R&D / Innovation Consulting
Control Risks,United Kingdom,controlrisks.com,Risk & Security Consulting
Charles River Associates,United States,crai.com,Economic & Litigation Consulting
AlixPartners,United States,alixpartners.com,Turnaround / Restructuring
Berkeley Research Group (BRG),United States,thinkbrg.com,Dispute & Advisory
Marakon,United States,marakon.com,Strategy
Innosight,United States,innosight.com,Growth Strategy & Innovation
