Name,Country,Domain / Website,Category / Notes
IDP Education,Australia,idp.com,Study abroad placement / IELTS
Study Group,United Kingdom,studygroup.com,Pathway programs
INTO University Partnerships,United Kingdom,intoglobal.com,Pathway programs
Navitas,Australia,navitas.com,Pathway programs
Kaplan International,United States,kaplaninternational.com,Test prep / Pathways
Shorelight Education,United States,shorelight.com,US university partnerships
Oxford International Education Group,United Kingdom,oxfordinternational.com,Pathway programs
QS (Quacquarelli Symonds),United Kingdom,qs.com,Rankings / Student recruitment events
Crimson Education,New Zealand,crimsoneducation.org,Admissions mentoring
IvyWise,United States,ivywise.com,Admissions counseling
AECC Global,Australia,aeccglobal.com,Study abroad counseling
Edwise International,India,edwiseinternational.com,Study abroad counseling
The Chopras (TC Global),India,tcglobal.com,Study abroad counseling
Canam Consultants,Canada,canamgroup.com,Study abroad counseling
Leverage Edu,India,leverageedu.com,EdTech / Study abroad counseling
ApplyBoard,Canada,applyboard.com,Application platform for agents
Yocket,India,yocket.com,Study abroad community & counseling
CollegeDekho,India,collegedekho.com,Admissions counseling
GEEBEE Education,India,geebee.in,Study abroad counseling
ICEF,Germany,icef.com,B2B education marketing & agent events
StudyPortals,Netherlands,studyportals.com,Program search platform
Studee,United Kingdom,studee.com,Study abroad platform
Study.eu,Germany,study.eu,Study in Europe platform
Keystone Education Group,Netherlands,keystoneacademic.com,Program search / media
M Square Media (MSM Unify),Singapore,msmunify.com,Agent/university matching platform
WorldStrides,United States,worldstrides.com,Study abroad programs
EF Education First,Switzerland,ef.com,Language & study abroad programs
CISabroad,United States,cisabroad.com,Study abroad programs
AFS Intercultural Programs,United States,afs.org,Exchange programs (non-profit)
IES Abroad,United States,iesabroad.org,Study abroad programs
Bridge Education Group,United States,bridge.edu,Language & pathway programs
The Princeton Review,United States,princetonreview.com,Test prep / admissions counseling
Global Admissions,United States,globaladmissions.com,Admissions counseling
Jamboree Education,India,jamboreeindia.com,Test prep / admissions counseling
AdmitKard,India,admitkard.com,Study abroad counseling
Collegify,India,collegify.com,Admissions counseling
KC Overseas Education,India,kcoverseas.com,Study abroad counseling
Beyond The States,United States,beyondthestates.com,Med/dental study abroad counseling
British Council – Study UK,United Kingdom,britishcouncil.org,Government-backed study promotion
Ecctis (UK NARIC),United Kingdom,ecctis.com,Credential evaluation
World Education Services (WES),Canada,wes.org,Credential evaluation
Interstride,United States,interstride.com,International student support platform
Kaplan Pathways,United Kingdom,kaplanpathways.com,Pathway programs
Cialfo,Singapore,cialfo.co,Counseling platform
SI-UK (Study in UK),United Kingdom,studyin-uk.com,UK study abroad counseling
BridgeU,United Kingdom,bridge-u.com,School counseling platform
"— NEPAL-SPECIFIC ADDITIONS (MOEST FY 2082/83 approved list, partial sample of 100/760, via dartanepal.com) —",,,
Mate's Education Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 1; Address: Putalisadak Kathmandu; Services: Educational Counselling, Preparation Classes(IELTS)"
Brilliant Education And Career Services Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 2; Address: Putalisadak Kathmandu; Services: Educational Counselling, Preparation Classes (IELTS, TOFEL)"
Kangaroo Education Foundation Pvt.Ltd.,Nepal,Not verified,"MOEST Approval No. 3; Address: Level 3,Purple House,Bagbazar,Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS"
Netco Technology Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 5; Address: Adwaitmarga- 28,Bagbazar,Kathmandu; Services: Educational Counselling, Preparation Classes IELTS"
Prime Education Information Center Pvt. Ltd,Nepal,Not verified,MOEST Approval No. 6; Address: Kamaladi; Services: Educational Counselling
SHATAKSHEE EDUCATIONAL FOUNDATION PVT LTD,Nepal,Not verified,"MOEST Approval No. 7; Address: Dillibazar, Kathmandu; Services: Educational Counselling"
Oli And Associates Pvt.Ltd.,Nepal,Not verified,MOEST Approval No. 9; Address: 30-Dillibazar-Starmall- Kathmandu; Services: Educational Counselling
Himalayan White House Education Consultancy Pvt Ltd.,Nepal,Not verified,"MOEST Approval No. 10; Address: Putalisadak, Kathmandu; Services: Educational Counselling and Language Teaching Japanese"
US Way Education Pvt Ltd,Nepal,Not verified,MOEST Approval No. 12; Address: ; Services: Educational Counselling
Common Foundation Pvt Ltd,Nepal,Not verified,MOEST Approval No. 14; Address: Putalisadak@1; Services: Educational Counselling
Sagip Educational Consultancy Pvt.Ltd,Nepal,Not verified,"MOEST Approval No. 16; Address: Kathmandu -28, Putalisadak, Kathmandu; Services: Educational Counselling, Preparation Classes (IELTS, TOFEL)"
The Next Education Consultancy Pvt.ltd,Nepal,Not verified,MOEST Approval No. 19; Address: New Baneshwor 10 Kathamndu Metropolitancity; Services: Educational Counselling
Fast Track Education Consultancy Pvt Ltd.,Nepal,Not verified,"MOEST Approval No. 20; Address: Bagbazar-28, Kathmandu, Nepal; Services: Educational Counselling, Japanese Language Teaching"
Wide Range Consultancy Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 21; Address: Putalisadak, kathmandu; Services: Educational Counselling"
Expert Education and Visa Service Nepal Pvt. ltd,Nepal,Not verified,"MOEST Approval No. 22; Address: Putalisadak, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS"
Golden Gate International Education Pvt.Ltd.,Nepal,Not verified,"MOEST Approval No. 23; Address: Bagbazar - 28 ,Kathmandu; Services: Educational Counselling"
Tara International Education Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 24; Address: Aradhana Complex, Bagbazar-28, Kathmandu, Nepal; Services: Educational Counselling and language Teaching English"
Open Vision Education Foundation Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 26; Address: Lekhnath Marg, Thamel, Kathmandu; Services: Educational Counselling, Preparation Classes (IELTS, TOEFL) and language Teaching English, Japanese"
Edupark Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 27; Address: Bagbazar-28, Kathmandu Metropolitan City; Services: Educational Counselling, language teaching German"
Guru The Pathfinder,Nepal,Not verified,"MOEST Approval No. 28; Address: Kathmandu-10, Kathmandu; Services: Educational Counselling, Preparation Classes IELS, TOEFL and language Teaching English"
Edu. Campaign Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 29; Address: Ka. Ma. Na. Pa-30, Kathmandu, Nepal; Services: Educational Counselling"
Vista International Education Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 30; Address: NIMB Bank Building, Bagbazar 28, Kathmandu; Services: Educational Counselling"
Nobel Education Foundation (P.) Ltd,Nepal,Not verified,"MOEST Approval No. 32; Address: Putalisadak-32, Lalupate Magra; Services: Educational Counselling, Preparation Classes (IELTS, TOFEL, GRE, GMAT, SAT, SAT-II, UNSAT), language Teaching English"
Landmark Education Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 33; Address: IT Plaza, Kamaladi,Kathamdu; Services: Educational Counselling, Language Teaching English, Preparation Classes IELTS, TOEFL"
Unicampus Education network Pvt.Ltd.,Nepal,Not verified,"MOEST Approval No. 34; Address: KMC Ward No.29, Kathmandu; Services: Educational Counselling"
Hub International Education Pvt.Ltd.,Nepal,Not verified,"MOEST Approval No. 36; Address: Hattisar, kathmandu; Services: Educational Counselling and Language Teaching Japanese"
Dolphin Education Consultancy center Pvt.Ltd,Nepal,Not verified,"MOEST Approval No. 37; Address: Putalisadak, kathmandu; Services: Educational Counselling"
Rohini International Education Services Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 38; Address: Shankar Dev Campus Road, Adwit Marge, Bagbazar - 28, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS, TOEFL"
Munich International Education Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 40; Address: Bagbazar-28, Kathmandu; Services: Educational Counselling and language Teaching German"
Education Park Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 42; Address: Civil Mall, Sundhara, Kathmandu; Services: Educational Counselling, Preparation Classes TOEFL"
Nepalese Encounters Education Consultancy Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 43; Address: POKHARA-06, LAKESIDE, KASKI, NEPAL; Services: Educational Counselling, Preparation Classes IELTS"
EDU_Consultancy Nepal Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 44; Address: Putalisadak - 29, Kathmandu; Services: Educational Counselling, language Teaching classes English"
Maple International Education Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 45; Address: Laxmi Plaza, Putalisadak; Services: Educational Counselling"
Arena International Education Services Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 46; Address: Putali sadak; Services: Educational Counselling, Preparation Classes IELTS and language Teaching English"
MILESTONE CONSULT SERVICES PVT.LTD,Nepal,Not verified,MOEST Approval No. 47; Address: lagankhel-12; Services: Educational Counselling
BMW Educational Consultancy Private Limited,Nepal,Not verified,"MOEST Approval No. 49; Address: Way to Dillibazar, Putalisadak, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS"
Sara Link International Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 50; Address: Putalisadak, Kathmandu, Nepal; Services: Educational Counselling"
Australian Council for Education Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 51; Address: Putalisadak, Kathmandu; Services: Educational Counselling"
Skills to Earn Pvt. Ltd.,Nepal,Not verified,MOEST Approval No. 54; Address: Lalitpur - 4; Services: Educational Counselling
Gantabya Education Foundation Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 55; Address: Putalisadak, Kathmandu; Services: Educational Counselling"
Boston Educational Services P.Ltd,Nepal,Not verified,"MOEST Approval No. 56; Address: Baneshwor; Services: Educational Counselling, Preparation Classes IELTS, language Teaching classes English"
Takshshila Education Consultants Pvt.ltd,Nepal,Not verified,"MOEST Approval No. 57; Address: Bagbazar; Services: Educational Counselling, Preparation Classes IELTS"
Education Asia Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 58; Address: Shallyan House, Bagbazar, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS, SAT and language Teaching English"
York International Educational Consultancy Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 59; Address: Dillibazar-29, Kathmandu; Services: Educational Counselling"
Miracle Institute Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 61; Address: Chipledhunga, Pokhara; Services: Educational Counselling, language Teaching classes English"
Oasis Abroad Study Services & Consultancy Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 62; Address: Bagbazar (Near Ratna Park Bridge) Kathmandu; Services: Educational Counselling, Preparation Classes IELTS and Language Teaching Japanese, English"
Oasis Career Advisor Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 62; Address: New Baneshwor; Services: Educational Counselling, Preparation Classes IELTS"
Orbit Medical Entrance Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 63; Address: Putalisadak 29 , Kathmandu; Services: Educational Counselling, Preparation Classes - Medical Entrance"
AEVS Consultancy Pvt Ltd,Nepal,Not verified,MOEST Approval No. 64; Address: Putalisadak; Services: Educational Counselling
Intel Institute Pvt. Ltd.,Nepal,Not verified,MOEST Approval No. 65; Address: Bagbazar; Services: Preparation Classes
Delta Educare Nepal,Nepal,Not verified,"MOEST Approval No. 66; Address: 2nd Floor BBC Bhawan, Chipledhunga, Pokhara; Services: Educational Counselling, Preparation Classes IELS and language Teaching English"
Apollo International Education Service Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 67; Address: Kathmandu 31, Putalisadak; Services: Educational Counselling"
Golden Eye Academy Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 68; Address: Pokhara; Services: Educational Counselling, Preparation Classes Public Service Preparation and Language Teaching Japanese, Korean, English"
Beacon Education and Visa Services Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 69; Address: Siddhartha Chowk 04 Pokhara; Services: Educational Counselling, Preparation Classes IELTS"
TARGET INTERNATIONAL EDUCATION PVT. LTD.,Nepal,Not verified,"MOEST Approval No. 70; Address: Chipledhunga, 09 Pokhara, Kaski, Gandaki; Services: Educational Counselling, Preparation Classes IELTS"
Magnificent Education & I.T. Services,Nepal,Not verified,"MOEST Approval No. 71; Address: Putalisadak, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS"
Hardford Education Pvt.Ltd,Nepal,Not verified,"MOEST Approval No. 74; Address: Kathmandu Metropolitan City - 10, New Baneshwor, Kathmandu, Nepal; Services: Educational Counselling and Language Teaching Japanese"
Universal Language & Computer Institute,Nepal,Not verified,"MOEST Approval No. 75; Address: Dillibazar, Height Marg, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS, TOEFL and language Teaching English, Chinese"
Nepal Japan Sewa Center Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 76; Address: Nagpokhari, Kathmandu, Nepal; Services: Educational Counselling and Language Teaching Japanese"
East West College of International Education Pvt.ltd,Nepal,Not verified,"MOEST Approval No. 77; Address: Adwaitmarg, Bagbazar, Kathmandu; Services: Educational Counselling"
Nepcoms Services Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 79; Address: Baagbazar, Kathamandu - 28; Services: Educational Counselling, Preparation Classes IELTS"
B J Education Network Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 80; Address: Putalisadak- Kathmandu; Services: Educational Counselling, language teaching English"
Edwise Foundation Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 81; Address: Shubhashree Complex, 6th Floor, Newplaza; Services: Educational Counselling, Preparation Classes IELTS"
Peaceful Educational Foundation Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 83; Address: Bagbazar, Kathmandu, Nepal; Services: Educational Counselling, Language Teaching Japanese"
Almighty International Education Service Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 84; Address: Bharatpur-10, Chitwan, Nepal; Services: Educational Counselling and Language Teaching Japanese"
Ultimate Consultancy & Advisory Network Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 85; Address: Putalisadak-28; Services: Educational Counselling, Preparation Classes IELTS"
Greenwich International Education Pvt. Ltd,Nepal,Not verified,MOEST Approval No. 86; Address: CTC Mall Sundhara Kathmandu Nepal; Services: Educational Counselling
Stalwart Educational Consultancy Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 87; Address: Putalisadak 32, Opp to Machhapuchhre Bank, Kathmandu; Services: Educational Counselling, Preparation Classes IELTS"
Akashi Japanese Language School p. ltd.,Nepal,Not verified,MOEST Approval No. 88; Address: Bagbazar; Services: Educational Counselling and Language Teaching Japanese
Alfa Beta Institute Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 89; Address: Buddhanagar-10, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS, TOEFL and language Teaching English"
Carving Career Foundation Pvt. Ltd,Nepal,Not verified,"MOEST Approval No. 90; Address: Putalisadak, Kathmandu- 28; Services: Educational Counselling"
Pacific International Study Abroad Consultancy Pvt Ltd,Nepal,Not verified,"MOEST Approval No. 91; Address: Kathmandu-28,Bagbazar Sadak; Services: Educational Counselling, Preparation Classes IELTS, language Teaching classes English, German"
Novel Institute Pvt.Ltd.,Nepal,Not verified,"MOEST Approval No. 92; Address: Pokhara 4, Mahendrapul; Services: Educational Counselling, Preparation Classes English, Botani, Physic, Maths, language Teaching English"
CITY EDUCATION CONSULTANTS,Nepal,Not verified,MOEST Approval No. 93; Address: Bag Bazar-28; Services: Educational Counselling
Open World Education Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 93; Address: Kumaripati, Lalitpur; Services: Educational Counselling, Preparation Classes IELTS"
Newtonian Science Counselling Institute Pvt.Ltd.,Nepal,Not verified,"MOEST Approval No. 94; Address: Pashupati road, Gyaneshwar,Kathmandu-30; Services: Educational Counselling"
Education Network Pvt.Ltd,Nepal,Not verified,MOEST Approval No. 95; Address: GYANESHWOR; Services: Educational Counselling
BVC EDUCATION SERVICES (P) LTD,Nepal,Not verified,"MOEST Approval No. 99; Address: Putalisadak, Kathmandu; Services: Educational Counselling"
Reaction Nepal Consultants Pvt. Ltd.,Nepal,Not verified,"MOEST Approval No. 101; Address: Putalisadak Chowk, Kathmandu Metropolitan City-30, Kathmandu, Nepal; Services: Educational Counselling, Preparation Classes IELTS and language Teaching English, Japanese"
